Index,RAP_ID,Transcript_ID,Description,Position,Gene_Symbol,Gene_Name,GO
172,Os04g0110100,Os04t0110100-01,"β-Lectin domain protein, Salt stress response (Os04t0110100-01)",chr04:593362..594453 (- strand),BLEC-STR8,,Molecular Function: carbohydrate binding (GO:0030246)
173,Os04g0110600,Os04t0110600-01,"Homolog of Arabidopsis SRP1 (Stress associated RNA-binding protein 1), Salt tolerance (Os04t0110600-01)",chr04:617514..622710 (- strand),STL1,SALT TOLERANCE LEVEL 1,
174,Os04g0118900,Os04t0118900-01,"RS subfamily protein, Serine/arginine (SR)-rich protein, Response to salt and heat stress (Os04t0118900-01)",chr04:1120673..1124998 (- strand),RSP29,RS domain protein 29,Molecular Function: nucleic acid binding (GO:0003676) RNA binding (GO:0003723)
175,Os04g0123600,Os04t0123600-01,"Jacalin-related lectin 40, Regulation of salt tolerance (Os04t0123600-01)",chr04:1443434..1444933 (+ strand),JRL8,JACALIN-RELATED LECTIN 8,Molecular Function: carbohydrate binding (GO:0030246)
176,Os04g0142100,Os04t0142100-00,Similar to Salt responsive protein 2. (Os04t0142100-00),chr04:2869484..2870279 (+ strand),,,
177,Os04g0177300,Os04t0177300-01 ; Os04t0177300-02,"HIP116, Rad5p N-terminal domain containing protein. (Os04t0177300-01) Chromatin remodeling factor 735, Sucrose non-fermenting 2 (Snf2) family protein, Salt and drought stress response, Response to M. oryzae infection (Os04t0177300-02)",chr04:5254429..5260640 (- strand),CHR735,CHROMATIN REMODELING FACTOR 735,"Molecular Function: ATP binding (GO:0005524) hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818) nucleic acid binding (GO:0003676) protein binding (GO:0005515) zinc ion binding (GO:0008270)"
178,Os04g0304200,Os04t0304200-01 ; Os04t0304200-02,"Similar to Nonphototropic hypocotyl protein 1 (EC 2.7.1.37) (Phototropin). (Os04t0304200-01) Rice nonphototropic hypocotyl 1 (NPH1) homologue, Phototropin, Ion homeostasis, Salt stress response (Os04t0304200-02)",chr04:13641661..13654849 (- strand),NPH1B,NONPHOTOTROPHIC HYPOCOTYL 1B,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) protein kinase activity (GO:0004672)
179,Os04g0379700,Os04t0379700-01,"Violaxanthin de-epoxidase, Xanthophyll cycle key enzyme, Abscisic acid biosynthesis, Negative regulation of salt stress tolerance (Os04t0379700-01)",chr04:18551379..18553801 (- strand),RVDE1,RICE VIOLAXANTHIN DE-EPOXIDASE 1,Biological Process: xanthophyll cycle (GO:0010028)Molecular Function: violaxanthin de-epoxidase activity (GO:0046422)
180,Os04g0395800,Os04t0395800-01,"JAZ (JASMONATE ZIM-DOMAIN) protein 5, Dufulin (immuno-inducer)-binding protein, Salt tolerance (Os04t0395800-01)",chr04:19492605..19497140 (+ strand),TIFY9,TIFY GENE 9,
181,Os04g0401700,Os04t0401700-01 ; Os04t0401700-02 ; Os04t0401700-03,"Potassium transporter, Potassium mediated growth, Salt tolerance (Os04t0401700-01) Similar to Isoform 2 of Potassium transporter 1. (Os04t0401700-02) Potassium transporter 1 (OsHAK1). Splice isoform 2. (Os04t0401700-03)",chr04:19886674..19892355 (+ strand),LCS,LOW CS ACCUMULATION,Biological Process: potassium ion transmembrane transport (GO:0071805)Molecular Function: potassium ion transmembrane transporter activity (GO:0015079)Cellular Component: membrane (GO:0016020)
182,Os04g0444800,Os04t0444800-01 ; Os04t0444800-02,"Ferric reductase oxidase, Fe homeostasis, Salt stress response (Os04t0444800-01) Ferric reductase-like transmembrane component family protein. (Os04t0444800-02)",chr04:22182599..22186919 (+ strand),,,Molecular Function: oxidoreductase activity (GO:0016491)
183,Os04g0448100,Os04t0448100-01,"Stress-induced DUF1644 protein 301, Negative regulation of salt stress and grain size (Os04t0448100-01)",chr04:22337500..22339890 (- strand),SIDP301,STRESS-INDUCED DUF1644 PROTEIN 301,
184,Os04g0448800,Os04t0448800-01 ; Os04t0448800-02,"Mitochondrial phosphate transporter 3, Salt tolerance (Os04t0448800-01) Similar to Mitochondrial phosphate transporter (Fragment). (Os04t0448800-02)",chr04:22362240..22367202 (+ strand),PT17,PHOSPHATE TRANSPORTER 17,Biological Process: mitochondrial phosphate ion transmembrane transport (GO:1990547)Molecular Function: phosphate transmembrane transporter activity (GO:0005315)
185,Os04g0449400,Os04t0449400-01,"Type 2C protein phosphatase, Negative regulation of osmotic and salt stress tolerance, Regulation of the JA and ABA signaling pathways, Modulation of the raffinose family oligosaccharide metabolism pathway (Os04t0449400-01)",chr04:22389359..22394048 (- strand),PP2C40,PROTEIN PHOSPHATASE 2C40,Biological Process: protein dephosphorylation (GO:0006470)Molecular Function: protein serine/threonine phosphatase activity (GO:0004722)
186,Os04g0450800,Os04t0450800-01 ; Os04t0450800-02,"H3.2-type histone H3 protein, Salt stress response (Os04t0450800-01) Similar to Histone H3. (Os04t0450800-02)",chr04:22461303..22464042 (+ strand),,,Molecular Function: DNA binding (GO:0003677) protein heterodimerization activity (GO:0046982) structural constituent of chromatin (GO:0030527)Cellular Component: nucleosome (GO:0000786)
187,Os04g0464200,Os04t0464200-01,"Betaine aldehyde dehydrogenase, Rice fragrance, Salt stress (Os04t0464200-01)",chr04:23171516..23176332 (- strand),BAD1,BETAINE ALDEHYDE DEHYDROGENASE 1,"Molecular Function: oxidoreductase activity (GO:0016491) oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)"
188,Os04g0473400,Os04t0473400-01,"Ribosomal protein large subunit member, Salt stress tolerance (Os04t0473400-01)",chr04:23660835..23663001 (- strand),RPL6,RIBOSOMAL PROTEIN L6,Biological Process: translation (GO:0006412)Molecular Function: structural constituent of ribosome (GO:0003735)Cellular Component: ribosome (GO:0005840)
189,Os04g0476800,Os04t0476800-01,"Autophagy receptor, Positive regulation of salt stress tolerance (Os04t0476800-01)",chr04:23867557..23872076 (- strand),,,Molecular Function: protein binding (GO:0005515) zinc ion binding (GO:0008270)
190,Os04g0495800,Os04t0495800-01 ; Os04t0495800-02,"NIN-like protein 2, Nitrate responsive transcript factor, Regulation of ABA content during seed germination under salt stress (Os04t0495800-01) Similar to OSIGBa0159F11.11 protein. (Os04t0495800-02)",chr04:24795663..24801675 (+ strand),NLP2,NIN-LIKE PROTEIN 2,Molecular Function: DNA-binding transcription factor activity (GO:0003700) protein binding (GO:0005515)
191,Os04g0498600,Os04t0498600-01 ; Os04t0498600-02,"S-adenosylmethionine decarboxylase, Polyamine biosynthesis, Salt and drought stresses, Abiotic stress (Os04t0498600-01) Similar to cDNA clone:J013002M21, full insert sequence. (Os04t0498600-02)",chr04:24915054..24918786 (+ strand),SAMDC,S-ADENOSYLMETHIONINE DECARBOXYLASE,Biological Process: spermidine biosynthetic process (GO:0008295) spermine biosynthetic process (GO:0006597)Molecular Function: adenosylmethionine decarboxylase activity (GO:0004014)
192,Os04g0511200,Os04t0511200-01,"Caleosin peroxygenase, Calcium-binding and phospholipid-binding protein, Negative regulation of salt stress tolerance (Os04t0511200-01)",chr04:25563419..25565153 (- strand),EFA27,"EF-HAND, ABSCISIC ACID RESPONSIVE 27-KDA PROTEIN",
193,Os04g0526800,Os04t0526800-01,"Glucosyltransferases-like GTPase activators and Myotubularin (GRAM) domain-containing protein, Drought and salt tolerance, Regulationof the ABA pathway (Os04t0526800-01)",chr04:26342449..26343778 (- strand),ABAR1,ABA-RESPONSIVE PROTEIN-LIKE PROTEIN 1,
194,Os04g0529800,Os04t0529800-01 ; Os04t0529800-02,"Monosaccharide transporter (PLT subfamily), PLT protein 4, Salt and drought stress response (Os04t0529800-01) Similar to OSIGBa0155K17.6 protein. (Os04t0529800-02)",chr04:26506073..26508797 (- strand),PLT4,POLYOL/MONOSACCHARIDE TRANSPORTER 4,Biological Process: transmembrane transport (GO:0055085)Molecular Function: transmembrane transporter activity (GO:0022857)Cellular Component: membrane (GO:0016020)
195,Os04g0530900,Os04t0530900-01 ; Os04t0530900-02,"Galacturonosyltransferase-like protein, Glycosyltransferase family 8 (GT8) protein, Salt and cold stress response (Os04t0530900-01) Glycosyl transferase, family 8 protein. (Os04t0530900-02)",chr04:26553080..26554821 (+ strand),GATL5,GALACTURONOSYLTRANSFERASE-LIKE 5,Molecular Function: glycosyltransferase activity (GO:0016757)
196,Os04g0531400,Os04t0531400-01 ; Os04t0531400-02,"Similar to Lectin-like receptor kinase 7;2. (Os04t0531400-01) Lectin receptor-like kinase, Negative regulation of salt tolerance (Os04t0531400-02)",chr04:26572700..26575257 (- strand),,,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) carbohydrate binding (GO:0030246) protein kinase activity (GO:0004672)
197,Os04g0534600,Os04t0534600-01,"Peroxisomal protein, Response to salt and low nitrogen stresses (Os04t0534600-01)",chr04:26720079..26721025 (+ strand),PEX11-4,PEROXIN 11-4,Biological Process: peroxisome fission (GO:0016559)Cellular Component: peroxisomal membrane (GO:0005778)
198,Os04g0540900,Os04t0540900-01,"Receptor-like cytoplasmic kinase, Salt tolerance, Oxidative stress tolerance (Os04t0540900-01)",chr04:27058378..27059975 (- strand),RLCK154,RECEPTOR-LIKE CYTOPLASMIC KINASE 154,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) protein kinase activity (GO:0004672)
199,Os04g0541700,Os04t0541700-01 ; Os04t0541700-02,"Similar to Homeobox-leucine zipper protein HOX22. (Os04t0541700-01) Homeodomain-leucine zipper (HD-Zip) protein, Transcription factor, ABA-mediated drought and salt tolerance (Os04t0541700-02)",chr04:27124166..27125512 (+ strand),HOX22,HOMEOBOX GENE 22,"Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700) DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981) sequence-specific DNA binding (GO:0043565)"
200,Os04g0554500,Os04t0554500-01,"Hybrid proline-rich protein, Regulation of root system development, Salt tolerance, Regulation of peroxidases and apoplastic H2O2 metabolism (Os04t0554500-01)",chr04:27740064..27740809 (+ strand),HYPRP6,HYBRID PROLINE- OR GLYCINE-RICH PROTEIN 6,
201,Os04g0556300,Os04t0556300-01 ; Os04t0556300-02,"Glutathione peroxidase, Reponse to salt, cold and drought stress (Os04t0556300-01) Similar to Glutathione peroxidase. (Os04t0556300-02)",chr04:27838701..27840702 (+ strand),GPX1,GLUTATHIONE PEROXIDASE 1,Biological Process: response to oxidative stress (GO:0006979)Molecular Function: peroxidase activity (GO:0004601)
202,Os04g0560600,Os04t0560600-01,"Calcium-dependent protein kinase, Salt-stress tolerance, Blast disease resistance, Nitrogen metabolism (Os04t0560600-01)",chr04:28079507..28082320 (- strand),ESL4,EARLY SENESCENCE LEAF 4,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) calcium ion binding (GO:0005509) protein kinase activity (GO:0004672)
203,Os04g0566100,Os04t0566100-01,"Chromatin remodeling factor 714, Sucrose non-fermenting 2 (Snf2) family protein, Salt and drought stress response, Response to M. oryzae infection (Os04t0566100-01)",chr04:28379453..28387283 (+ strand),CHR714,CHROMATIN REMODELING FACTOR 714,Molecular Function: ATP binding (GO:0005524)
204,Os04g0582900,Os04t0582900-01,"DNA replication helicase 2_11, Drought and salt stress response (Os04t0582900-01)",chr04:29448673..29452413 (- strand),DNA2_11,DNA REPLICATION HELICASE/NUCLEASE 2_11,Molecular Function: helicase activity (GO:0004386)
205,Os04g0584600,Os04t0584600-01 ; Os04t0584600-02 ; Os04t0584600-03,"Similar to Calcium dependent protein kinase. (Os04t0584600-01) Group I calcium-dependent protein kinase, Cold and salt/drought tolerance, Activation of NADPH oxidase (RBOHH) in rice root during aerenchyma formation (Os04t0584600-02) Similar to cDNA clone:001-041-E12, full insert sequence. (Os04t0584600-03)",chr04:29531283..29535738 (+ strand),CDPK13,CALCIUM-DEPENDENT PROTEIN KINASE 13,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) calcium ion binding (GO:0005509) protein kinase activity (GO:0004672)
206,Os04g0600500,Os04t0600500-01 ; Os04t0600500-02,"Disease resistance/zinc finger/chromosome condensation-like region domain containing protein. (Os04t0600500-01) BREVIS RADIX-like protein, Drought and salt stress response (Os04t0600500-02)",chr04:30297858..30305607 (- strand),BRXL3,BREVIS RADIX-LIKE 3,
207,Os04g0603200,Os04t0603200-01 ; Os04t0603200-03,"Microtubule-associated RING finger protein, Salt tolerance (Os04t0603200-01) Similar to OSIGBa0118P15.2 protein. (Os04t0603200-03)",chr04:30439475..30442817 (- strand),RMT1,RING FINGER PROTEIN WITH MICROTUBULE-TARGETING DOMAIN 1,Molecular Function: ubiquitin protein ligase activity (GO:0061630)
208,Os04g0607600,Os04t0607600-01,"High-affinity K+ transporter (HKT) family protein, Na+ exclusion from leaf blade upon salt stress (Os04t0607600-01)",chr04:30734729..30739334 (- strand),HKT7,HIGH-AFFINITY K+ TRANSPORTER 7,Biological Process: monoatomic cation transport (GO:0006812) transmembrane transport (GO:0055085)Molecular Function: monoatomic cation transmembrane transporter activity (GO:0008324)
209,Os04g0631600,Os04t0631600-01,"bHLH transcription factor, Regulation of the salt stress response, Control of flowering (Os04t0631600-01)",chr04:32166724..32169575 (+ strand),BHLH68,BASIC HELIX-LOOP-HELIX PROTEIN 68,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA-binding transcription factor activity (GO:0003700) protein dimerization activity (GO:0046983)
210,Os04g0659100,Os04t0659100-01 ; Os04t0659100-02 ; Os04t0659100-03,"Chloroplastic glutamine synthetase, Reassimilation of the ammonia generated by photorespiration, Salt tolerance (Os04t0659100-01) Similar to Isoform 2 of Glutamine synthetase, chloroplastic. (Os04t0659100-02) Glutamine synthetase shoot isozyme, chloroplast precursor (EC 6.3.1.2) (Glutamate--ammonia ligase) (Clone lambda-GS31). (Os04t0659100-03)",chr04:33624428..33631025 (- strand),GS2,GLUTAMINE SYNTHETASE 2,Biological Process: glutamine biosynthetic process (GO:0006542)Molecular Function: catalytic activity (GO:0003824) glutamine synthetase activity (GO:0004356)
211,Os04g0659300,Os04t0659300-01,"Cysteine-rich repeat secretion protein, Receptor-like protein, Root development, Salt stress response, Regulation of iron acquisition, Defense against M. oryzae infection (Os04t0659300-01)",chr04:33641298..33642277 (+ strand),RMC,ROOT MEANDER CURLING,
212,Os04g0661200,Os04t0661200-01,"Inositol 1,3,4,5,6-pentakisphosphate 2-kinase 1, Tolerance to salt and drought stresses (Os04t0661200-01)",chr04:33735145..33739378 (- strand),,,"Molecular Function: ATP binding (GO:0005524) inositol-1,3,4,5,6-pentakisphosphate 2-kinase activity (GO:0035299)"
213,Os04g0676700,Os04t0676700-01 ; Os04t0676700-02,"MYB transcription factor, Drought and salt stress resistance (Os04t0676700-01) Similar to H0101F08.8 protein. (Os04t0676700-02)",chr04:34555255..34559555 (- strand),,,Molecular Function: DNA binding (GO:0003677)
214,Os04g0687300,Os04t0687300-01,"J-protein of the third category (Hsp40 family), Heat shock protein, DnaJ protein, Molecular chaperone, ABA-mediated antioxidant defense, Response to drought and salt stress (Os04t0687300-01)",chr04:35128695..35132608 (- strand),,,
215,Os05g0105900,Os05t0105900-01,"SR45 subfamily protein, Serine/arginine (SR)-rich protein, Response to ABA, GA, salt, drought and temperature stress (Os05t0105900-01)",chr05:317219..320666 (+ strand),"SR45A, RRM1-100",RNA RECOGNITION MOTIF DOMAIN PROTEIN 1-100,Molecular Function: nucleic acid binding (GO:0003676) RNA binding (GO:0003723)
216,Os05g0113500,Os05t0113500-03 ; Os05t0113500-04 ; Os05t0113500-05,"Similar to BRI1-KD interacting protein 130. (Os05t0113500-03) BR-INSENSITIVE 1 (BRI1)-interacting protein, Salt tolerance through modulation of ABA synthesis and scavenging ROS (Os05t0113500-04) Similar to BRI1-KD interacting protein 130. (Os05t0113500-05)",chr05:719134..721868 (- strand),,,
217,Os05g0127200,Os05t0127200-01 ; Os05t0127200-02,"Phosphatidylinositol-specific phospholipase C4, Modulation of response to salt and drought, Osmotic stress response (Os05t0127200-01) Similar to Phospholipase C (Fragment). (Os05t0127200-02)",chr05:1535764..1541563 (+ strand),PLC4,PHOSPHOLIPASE C4,Biological Process: intracellular signal transduction (GO:0035556) lipid metabolic process (GO:0006629) signal transduction (GO:0007165)Molecular Function: phosphatidylinositol phospholipase C activity (GO:0004435) phosphoric diester hydrolase activity (GO:0008081)
218,Os05g0144300,Os05t0144300-01,"Chromatin remodeling factor 719, Sucrose non-fermenting 2 (Snf2) family protein, Salt and drought stress response (Os05t0144300-01)",chr05:2548660..2559171 (- strand),CHR719,CHROMATIN REMODELING FACTOR 719,Molecular Function: ATP binding (GO:0005524) histone binding (GO:0042393)
219,Os05g0148600,Os05t0148600-01,"Na+/H+ antiporter, Salt stress response (Os05t0148600-01)",chr05:2777390..2783546 (- strand),NHX3,NA+/H+ ANTIPORTER 3,Biological Process: monoatomic cation transport (GO:0006812) proton transmembrane transport (GO:1902600) regulation of pH (GO:0006885) sodium ion transport (GO:0006814) transmembrane transport (GO:0055085)Molecular Function: antiporter activity (GO:0015297)Cellular Component: membrane (GO:0016020)
220,Os05g0149600,Os05t0149600-01 ; Os05t0149600-02,"Similar to CULLIN1-like protein 1. (Os05t0149600-01) Component of cullin-RING E3 ubiquitin ligase (CRL) complex, Salt/drought stress response, UV-B stress response (Os05t0149600-02)",chr05:2834206..2840848 (- strand),CUL1-2,CULLIN 1-2,Biological Process: ubiquitin-dependent protein catabolic process (GO:0006511)Molecular Function: ubiquitin protein ligase binding (GO:0031625)Cellular Component: cullin-RING ubiquitin ligase complex (GO:0031461)
221,Os05g0150300,Os05t0150300-01,"Chromatin remodeling factor 727, Sucrose non-fermenting 2 (Snf2) family protein, Salt and drought stress response, Response to M. oryzae infection (Os05t0150300-01)",chr05:2874325..2884462 (+ strand),CHR727,CHROMATIN REMODELING FACTOR 727,Biological Process: chromatin remodeling (GO:0006338)Molecular Function: ATP binding (GO:0005524) DNA binding (GO:0003677) nucleosome binding (GO:0031491)Cellular Component: nucleus (GO:0005634)
222,Os05g0177500,Os05t0177500-01,"Uridine diphosphate (UDP) glycosyltransferase 5, Positive regulation of salt tolerance and grain size, Arbutin biosynthesis (Os05t0177500-01)",chr05:4626474..4628310 (- strand),CGT1,CYTOKININ-O-GLUCOSYLTRANSFERASE 1,Molecular Function: UDP-glycosyltransferase activity (GO:0008194)
223,Os05g0289400,Os05t0289400-01 ; Os05t0289400-02,"Crooked neck protein, Salt tolerance (Os05t0289400-01) Hypothetical conserved gene. (Os05t0289400-02)",chr05:12601169..12606114 (- strand),CRN,CROOKED NECK PROTEIN,"Biological Process: mRNA splicing, via spliceosome (GO:0000398) RNA processing (GO:0006396)Molecular Function: protein binding (GO:0005515)"
224,Os05g0305900,Os05t0305900-01 ; Os05t0305900-02,"Leucine-rich repeat receptor-like kinase, Regulation of salt stress tolerance (Os05t0305900-01) Protein kinase, core domain containing protein. (Os05t0305900-02)",chr05:13834116..13839997 (+ strand),STLK,SALT-TOLERANCE LRR-RLK,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) protein binding (GO:0005515) protein kinase activity (GO:0004672)
225,Os05g0348100,Os05t0348100-01 ; Os05t0348100-02,"Similar to CRR23 ((chlororespiratory reduction 23). (Os05t0348100-01) NAD(P)H-quinone oxidoreductase subunit L, NADH dehydrogenase-like complex L subunit, Salt tolerance (Os05t0348100-02)",chr05:16421495..16423227 (- strand),NDHL,NDH COMPLEX L SUBUNIT,"Molecular Function: oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)"
226,Os05g0392400,Os05t0392400-01,"Chromatin remodeling factor 742, Sucrose non-fermenting 2 (Snf2) family protein, Salt stress response, Response to M. oryzae infection (Os05t0392400-01)",chr05:19093513..19099197 (+ strand),CHR742,CHROMATIN REMODELING FACTOR 742,Biological Process: gene silencing by siRNA-directed DNA methylation (GO:0080188)Molecular Function: ATP binding (GO:0005524)
227,Os05g0445100,Os05t0445100-01 ; Os05t0445100-02,"Cytochrome P450 94C4, Cytochrome P450 of the CYP94 subfamily, Salt stress response (Os05t0445100-01) Cytochrome P450 domain containing protein. (Os05t0445100-02)",chr05:21790875..21793270 (+ strand),CYP94C4,CYTOCHROME P450 94C4,"Molecular Function: heme binding (GO:0020037) iron ion binding (GO:0005506) monooxygenase activity (GO:0004497) oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)"
228,Os05g0457200,Os05t0457200-01 ; Os05t0457200-02,"Similar to protein phosphatase 2C. (Os05t0457200-01) Protein phosphatase 2C49, Negative regulation of salt stress response (Os05t0457200-02)",chr05:22450676..22452631 (- strand),PP2C49,PROTEIN PHOSPHATASE 2C49,Biological Process: protein dephosphorylation (GO:0006470)Molecular Function: cation binding (GO:0043169) protein serine/threonine phosphatase activity (GO:0004722)
229,Os05g0478800,Os05t0478800-01,"WRKY transcription factor 54, Salt tolerance (Os05t0478800-01)",chr05:23550194..23551753 (- strand),WRKY54,WRKY GENE 54,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA-binding transcription factor activity (GO:0003700) sequence-specific DNA binding (GO:0043565)
230,Os05g0491000,Os05t0491000-01,"Calmodulin-like protein 9, Negative regulation of salt tolerance (Os05t0491000-01)",chr05:24130239..24130977 (- strand),CML9,CALMODULIN-LIKE PROTEIN 9,Molecular Function: calcium ion binding (GO:0005509)
231,Os05g0516600,Os05t0516600-01,"Small GTP-binding protein, Tolerance to salt stress, Tolerance to drought and heat stress, Leaf senescence (Os05t0516600-01)",chr05:25620555..25623280 (+ strand),RAB7B3,,Molecular Function: GTP binding (GO:0005525) GTPase activity (GO:0003924)
232,Os05g0523300,Os05t0523300-01,"Auxin/indoleacetic acid (Aux/IAA) transcription factor, Regulation of salt and drought tolerance (Os05t0523300-01)",chr05:26052916..26055714 (- strand),IAA18,,Biological Process: regulation of DNA-templated transcription (GO:0006355)Cellular Component: nucleus (GO:0005634)
233,Os05g0533500,Os05t0533500-01,"Serine acetyltransferase 1, Salt stress response (Os05t0533500-01)",chr05:26480072..26481404 (- strand),SAT1;3,SERINE ACETYLTRANSFERASE 1;3,Biological Process: cysteine biosynthetic process from serine (GO:0006535)Molecular Function: serine O-acetyltransferase activity (GO:0009001) transferase activity (GO:0016740)Cellular Component: cytoplasm (GO:0005737)
234,Os05g0534400,Os05t0534400-01,"Calcineurin B-like protein 4, Negative regulation of salt tolerance (Os05t0534400-01)",chr05:26535935..26537873 (+ strand),SOS3,SALT OVERLY SENSITIVE 3,Biological Process: calcium-mediated signaling (GO:0019722)Molecular Function: calcium ion binding (GO:0005509) kinase binding (GO:0019900)
235,Os05g0542500,Os05t0542500-01 ; Os05t0542500-02,"Similar to Isoform 2 of Late embryogenesis abundant protein, group 3. (Os05t0542500-01) Late embryogenesis abundant (LEA) protein, Drought and salt stress response (Os05t0542500-02)",chr05:26927607..26928882 (+ strand),LEA3-1,LATE EMBRYOGENESIS ABUNDANT 3-1,
236,Os05g0555100,Os05t0555100-01 ; Os05t0555100-02,"Similar to Protein phosphatase 2A B'kappa subunit. (Os05t0555100-01) Protein phosphatase 2A (PP2A) regulatory subunit B'κ, Regulation of salt tolerance (Os05t0555100-02)",chr05:27602413..27605407 (+ strand),PP2A-B'KAPPA,PROTEIN PHOSPHATASE 2A REGULATORY SUBUNIT B' KAPPA,Biological Process: signal transduction (GO:0007165)Molecular Function: protein phosphatase regulator activity (GO:0019888)Cellular Component: protein phosphatase type 2A complex (GO:0000159)
237,Os05g0567700,Os05t0567700-01 ; Os05t0567700-02,"Similar to Integral membrane protein. (Os05t0567700-01) Monosaccharide transporter (ERD subfamily), ERD protein 3, Salt, osmotic and drought stress response (Os05t0567700-02)",chr05:28258413..28262464 (+ strand),ERD3,ERD PROTEIN 3,Biological Process: carbohydrate transport (GO:0008643) transmembrane transport (GO:0055085)Molecular Function: sugar transmembrane transporter activity (GO:0051119) transmembrane transporter activity (GO:0022857)Cellular Component: membrane (GO:0016020)
238,Os06g0104900,Os06t0104900-01,"Malate dehydrogenase 6.1, Positive regulation of salt tolerance (Os06t0104900-01)",chr06:347009..348516 (- strand),MDH6.1,MALATE DEHYDROGENASE 6.1,"Biological Process: carboxylic acid metabolic process (GO:0019752)Molecular Function: catalytic activity (GO:0003824) L-lactate dehydrogenase activity (GO:0004459) oxidoreductase activity (GO:0016491) oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)Cellular Component: cytoplasm (GO:0005737)"
239,Os06g0111500,Os06t0111500-01 ; Os06t0111500-02,"Cytosolic 6-phosphogluconate dehydrogenase, Resistance to brown planthopper (BPH), Cell division and response to salt stress (Os06t0111500-01) Similar to 6-phosphogluconate dehydrogenase, decarboxylating. (Os06t0111500-02)",chr06:643712..646718 (+ strand),6PGDH1,6-PHOSPHOGLUCONATE DEHYDROGENASE 1,Biological Process: pentose-phosphate shunt (GO:0006098)Molecular Function: NADP binding (GO:0050661) phosphogluconate dehydrogenase (decarboxylating) activity (GO:0004616)
240,Os06g0127000,Os06t0127000-01 ; Os06t0127000-02 ; Os06t0127000-03 ; Os06t0127000-04,"Peroxisomal biogenesis factor 11 family protein. (Os06t0127000-01) Peroxisomal biogenesis factor 11 family protein. (Os06t0127000-02) Peroxisomal biogenesis factor 11 family protein. (Os06t0127000-03) Peroxisomal protein, Response to abscisic acid (ABA), hydrogen peroxide, and salt (Os06t0127000-04)",chr06:1423797..1427678 (+ strand),PEX11-5,PEROXIN 11-5,Biological Process: peroxisome fission (GO:0016559)Cellular Component: peroxisomal membrane (GO:0005778)
241,Os06g0127100,Os06t0127100-01,"Dehydration-responsive element binding protein 1C, Chilling tolerance, Positive regulation of heat tolerance, Positive regulation of salt tolerance (Os06t0127100-01)",chr06:1434770..1435533 (+ strand),DREB1C,DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 1C,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
242,Os06g0130100,Os06t0130100-01 ; Os06t0130100-02 ; Os06t0130100-03,"Receptor-like kinase (RLK), Drought and salt stress tolerance (Os06t0130100-01) LRR-receptor-like kinase (LRR-RLK) family protein (Os06t0130100-02) Similar to Stress-induced protein kinase. (Os06t0130100-03)",chr06:1605742..1612409 (+ strand),SIK1,STRESS INDUCED PROTEIN KINASE 1,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) protein binding (GO:0005515) protein kinase activity (GO:0004672)
243,Os06g0141100,Os06t0141100-01,"Monosaccharide transporter (STP subfamily), STP protein 19, Salt, osmotic and drought stress response (Os06t0141100-01)",chr06:2155077..2156716 (- strand),STP19,SUGAR TRANSPORT PROTEIN 19,Biological Process: monosaccharide transmembrane transport (GO:0015749) transmembrane transport (GO:0055085)Molecular Function: carbohydrate transmembrane transporter activity (GO:0015144) monosaccharide transmembrane transporter activity (GO:0015145) transmembrane transporter activity (GO:0022857)Cellular Component: membrane (GO:0016020)
244,Os06g0141200,Os06t0141200-01,"Putative zinc finger protein, Negative regulation of salt stress response (Os06t0141200-01)",chr06:2162738..2165150 (- strand),,,
245,Os06g0147800,Os06t0147800-01,"Mitogen-activated protein kinase (MAPK) kinase, Regulation of salt stress tolerance (Os06t0147800-01)",chr06:2498863..2502887 (- strand),MKK1,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) protein kinase activity (GO:0004672)
